timestamp,env,repetition,system,table,time
1757626129,figure_11,1,netcat,lineitem_sf10,5.734566
1757626135,figure_11,2,netcat,lineitem_sf10,6.50469
1757626141,figure_11,3,netcat,lineitem_sf10,7.420033
1757626149,figure_11,1,netcat,ss13husallm,1.164239
1757626150,figure_11,2,netcat,ss13husallm,1.393339
1757626151,figure_11,3,netcat,ss13husallm,1.382008
1757626153,figure_11,1,netcat,iotm,3.089891
1757626156,figure_11,2,netcat,iotm,3.339063
1757626159,figure_11,3,netcat,iotm,3.003739
1757626162,figure_11,1,netcat,inputeventsm,1.807143
1757626164,figure_11,2,netcat,inputeventsm,2.121327
1757626166,figure_11,3,netcat,inputeventsm,2.486802
1757626508,figure_11,1,xdbc-skip0,lineitem_sf10,10.310193
1757626521,figure_11,1,xdbc-skip1,lineitem_sf10,7.246451
1757626538,figure_11,2,xdbc-skip0,lineitem_sf10,10.30306
1757626553,figure_11,2,xdbc-skip1,lineitem_sf10,8.267515
1757626570,figure_11,3,xdbc-skip0,lineitem_sf10,10.312185
1757626584,figure_11,3,xdbc-skip1,lineitem_sf10,7.253007
1757626594,figure_11,1,xdbc-skip0,ss13husallm,3.251586
1757626601,figure_11,1,xdbc-skip1,ss13husallm,1.22026
1757626611,figure_11,2,xdbc-skip0,ss13husallm,3.24672
1757626618,figure_11,2,xdbc-skip1,ss13husallm,1.245553
1757626628,figure_11,3,xdbc-skip0,ss13husallm,3.253713
1757626635,figure_11,3,xdbc-skip1,ss13husallm,1.219552
1757626651,figure_11,1,xdbc-skip0,iotm,9.257525
1757626660,figure_11,1,xdbc-skip1,iotm,3.220792
1757626676,figure_11,2,xdbc-skip0,iotm,9.269498
1757626686,figure_11,2,xdbc-skip1,iotm,3.234421
1757626701,figure_11,3,xdbc-skip0,iotm,9.268901
1757626711,figure_11,3,xdbc-skip1,iotm,3.233697
1757626721,figure_11,1,xdbc-skip0,inputeventsm,4.279262
1757626730,figure_11,1,xdbc-skip1,inputeventsm,2.229201
1757626739,figure_11,2,xdbc-skip0,inputeventsm,3.279198
1757626748,figure_11,2,xdbc-skip1,inputeventsm,2.226442
1757626758,figure_11,3,xdbc-skip0,inputeventsm,3.284899
1757626766,figure_11,3,xdbc-skip1,inputeventsm,2.232529
