timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1757627525,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,1,1,1024,81920,81920,1,snappy,0,0,101.370202,3987508728
1757627618,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,2,2,1024,81920,81920,1,snappy,0,0,86.385146,3987552056
1757627723,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,4,4,1024,81920,81920,1,snappy,0,0,97.37903,3987618783
1757627865,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,8,8,1024,81920,81920,1,snappy,0,0,134.435023,3988967895
1757628077,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,203.671701,3989765142
1757628255,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,1,16,16,1024,81920,81920,1,snappy,0,0,170.470605,3989333085
1757628460,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,2,16,16,1024,81920,81920,1,snappy,0,0,197.5678,3989671843
1757628676,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,8,16,16,1024,81920,81920,1,snappy,0,0,208.666778,3989654788
1757628896,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,16,16,16,1024,81920,81920,1,snappy,0,0,212.745035,3989799404
1757629107,env_2s_2c_125net_lineitem_sf10,1,2,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.655151,3989775423
1757629319,env_2s_2c_125net_lineitem_sf10,1,4,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,204.674977,3989670423
1757629531,env_2s_2c_125net_lineitem_sf10,1,8,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,204.561611,3989834742
1757629749,env_2s_2c_125net_lineitem_sf10,1,16,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,210.58054,3989025119
1757629957,env_2s_2c_125net_lineitem_sf10,1,1,1,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,200.581305,3989754013
1757630170,env_2s_2c_125net_lineitem_sf10,1,1,2,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,205.590515,3989823554
1757630383,env_2s_2c_125net_lineitem_sf10,1,1,8,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,205.609743,3989658837
1757630595,env_2s_2c_125net_lineitem_sf10,1,1,16,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,203.65941,3989764765
1757630803,env_2s_2c_125net_lineitem_sf10,1,1,4,1,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,200.61195,3989677790
1757631013,env_2s_2c_125net_lineitem_sf10,1,1,4,2,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.807644,3989772458
1757631224,env_2s_2c_125net_lineitem_sf10,1,1,4,8,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,203.668571,3989775461
1757631437,env_2s_2c_125net_lineitem_sf10,1,1,4,16,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,205.584613,3989931075
1757631548,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,1,1,1024,81920,81920,1,snappy,0,0,101.361662,3987523634
1757631642,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,2,2,1024,81920,81920,1,snappy,0,0,86.37423,3987654386
1757631752,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,4,4,1024,81920,81920,1,snappy,0,0,102.37056,3987834662
1757631895,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,8,8,1024,81920,81920,1,snappy,0,0,135.525055,3989224322
1757632105,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.657223,3989639729
1757632279,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,1,16,16,1024,81920,81920,1,snappy,0,0,166.470585,3989301383
1757632485,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,2,16,16,1024,81920,81920,1,snappy,0,0,198.670516,3989632122
1757632699,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,8,16,16,1024,81920,81920,1,snappy,0,0,206.635587,3989707491
1757632919,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,16,16,16,1024,81920,81920,1,snappy,0,0,211.860817,3989964071
1757633131,env_16s_2c_125net_lineitem_sf10,1,2,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,204.743996,3989642114
1757633343,env_16s_2c_125net_lineitem_sf10,1,4,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,204.65928,3989773967
1757633554,env_16s_2c_125net_lineitem_sf10,1,8,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.651459,3989641232
1757633765,env_16s_2c_125net_lineitem_sf10,1,16,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,203.62665,3989599329
1757633976,env_16s_2c_125net_lineitem_sf10,1,1,1,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,203.649061,3989798970
1757634183,env_16s_2c_125net_lineitem_sf10,1,1,2,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,199.649061,3989679466
1757634394,env_16s_2c_125net_lineitem_sf10,1,1,8,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,203.709697,3989490109
1757634607,env_16s_2c_125net_lineitem_sf10,1,1,16,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,205.586215,3989679169
1757634820,env_16s_2c_125net_lineitem_sf10,1,1,4,1,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,204.62401,3989720086
1757635029,env_16s_2c_125net_lineitem_sf10,1,1,4,2,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,201.592987,3989526154
1757635240,env_16s_2c_125net_lineitem_sf10,1,1,4,8,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,203.612645,3989830910
1757635450,env_16s_2c_125net_lineitem_sf10,1,1,4,16,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.61711,3989900165
