timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1757579485,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,32,81920,81920,1,nocomp,0,0,30.853726,11546746451
1757579521,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,64,81920,81920,1,nocomp,0,0,28.140295,10938325395
1757579554,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,128,81920,81920,1,nocomp,0,0,25.710681,10646804715
1757579587,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,256,81920,81920,1,nocomp,0,0,25.457765,10502149147
1757579618,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,512,81920,81920,1,nocomp,0,0,23.387901,10428965115
1757579649,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,nocomp,0,0,23.369478,10392384685
1757579679,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,2048,81920,81920,1,nocomp,0,0,22.333739,10374448855
1757579717,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,32,81920,81920,2,nocomp,0,0,30.878039,11546989107
1757579753,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,64,81920,81920,2,nocomp,0,0,28.070392,10938361890
1757579786,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,128,81920,81920,2,nocomp,0,0,25.698828,10647576309
1757579819,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,256,81920,81920,2,nocomp,0,0,25.493124,10502479253
1757579851,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,512,81920,81920,2,nocomp,0,0,24.373592,10429989526
1757579884,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,1024,81920,81920,2,nocomp,0,0,25.357731,10395618691
1757579916,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,2048,81920,81920,2,nocomp,0,0,24.336915,10377520503
1757579942,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,32,81920,81920,1,lz4,0,0,18.896417,5485105207
1757579966,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,64,81920,81920,1,lz4,0,0,16.059375,4771246792
1757579988,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,128,81920,81920,1,lz4,0,0,14.78842,4425241777
1757580009,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,256,81920,81920,1,lz4,0,0,13.473247,4251508475
1757580030,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,512,81920,81920,1,lz4,0,0,13.408944,4163126463
1757580051,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,lz4,0,0,13.390826,4120234863
1757580073,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,2048,81920,81920,1,lz4,0,0,14.340953,4097142581
1757580099,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,32,81920,81920,2,lz4,0,0,18.945061,5445787753
1757580123,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,64,81920,81920,2,lz4,0,0,16.098912,4731050764
1757580145,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,128,81920,81920,2,lz4,0,0,14.674908,4261672949
1757580166,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,256,81920,81920,2,lz4,0,0,13.517048,4060830352
