timestamp,env,repetition,compression,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1757628937,env_16c_16c_0net,1,nocomp,1,8,1,1,1,1,8,16,lineitem_sf10,16.375047
1757628960,env_16c_16c_0net,1,nocomp,1,8,2,1,1,2,8,16,lineitem_sf10,16.347588
1757628984,env_16c_16c_0net,1,nocomp,1,8,4,1,1,4,8,16,lineitem_sf10,17.362781
1757629009,env_16c_16c_0net,1,nocomp,1,8,8,1,1,8,8,16,lineitem_sf10,17.364245
1757629033,env_16c_16c_0net,1,nocomp,1,8,16,1,1,16,8,16,lineitem_sf10,17.356816
1757629073,env_16c_16c_0net,1,lz4,1,8,1,1,1,1,8,16,lineitem_sf10,33.366953
1757629099,env_16c_16c_0net,1,lz4,1,8,2,1,1,2,8,16,lineitem_sf10,19.378505
1757629123,env_16c_16c_0net,1,lz4,1,8,4,1,1,4,8,16,lineitem_sf10,17.370974
1757629148,env_16c_16c_0net,1,lz4,1,8,8,1,1,8,8,16,lineitem_sf10,17.359003
1757629172,env_16c_16c_0net,1,lz4,1,8,16,1,1,16,8,16,lineitem_sf10,17.366372
1757629211,env_16c_16c_0net,1,lzo,1,8,1,1,1,1,8,16,lineitem_sf10,32.36795
1757629236,env_16c_16c_0net,1,lzo,1,8,2,1,1,2,8,16,lineitem_sf10,18.364485
1757629261,env_16c_16c_0net,1,lzo,1,8,4,1,1,4,8,16,lineitem_sf10,17.376655
1757629285,env_16c_16c_0net,1,lzo,1,8,8,1,1,8,8,16,lineitem_sf10,17.360752
1757629309,env_16c_16c_0net,1,lzo,1,8,16,1,1,16,8,16,lineitem_sf10,17.364763
1757629343,env_16c_16c_0net,1,snappy,1,8,1,1,1,1,8,16,lineitem_sf10,27.376308
1757629367,env_16c_16c_0net,1,snappy,1,8,2,1,1,2,8,16,lineitem_sf10,16.362404
1757629391,env_16c_16c_0net,1,snappy,1,8,4,1,1,4,8,16,lineitem_sf10,17.371181
1757629415,env_16c_16c_0net,1,snappy,1,8,8,1,1,8,8,16,lineitem_sf10,17.352894
1757629439,env_16c_16c_0net,1,snappy,1,8,16,1,1,16,8,16,lineitem_sf10,17.354403
1757629497,env_16c_16c_0net,1,zstd,1,8,1,1,1,1,8,16,lineitem_sf10,51.389253
1757629534,env_16c_16c_0net,1,zstd,1,8,2,1,1,2,8,16,lineitem_sf10,29.428954
1757629558,env_16c_16c_0net,1,zstd,1,8,4,1,1,4,8,16,lineitem_sf10,17.404124
1757629582,env_16c_16c_0net,1,zstd,1,8,8,1,1,8,8,16,lineitem_sf10,17.414795
1757629606,env_16c_16c_0net,1,zstd,1,8,16,1,1,16,8,16,lineitem_sf10,17.404801
1757629640,env_16c_16c_1000net,1,nocomp,1,8,1,1,1,1,8,16,lineitem_sf10,24.370568
1757629672,env_16c_16c_1000net,1,nocomp,1,8,2,1,1,2,8,16,lineitem_sf10,24.377993
1757629705,env_16c_16c_1000net,1,nocomp,1,8,4,1,1,4,8,16,lineitem_sf10,25.365141
1757629736,env_16c_16c_1000net,1,nocomp,1,8,8,1,1,8,8,16,lineitem_sf10,23.368896
1757629772,env_16c_16c_1000net,1,nocomp,1,8,16,1,1,16,8,16,lineitem_sf10,28.367127
1757629814,env_16c_16c_1000net,1,lz4,1,8,1,1,1,1,8,16,lineitem_sf10,34.359258
1757629840,env_16c_16c_1000net,1,lz4,1,8,2,1,1,2,8,16,lineitem_sf10,19.357631
1757629865,env_16c_16c_1000net,1,lz4,1,8,4,1,1,4,8,16,lineitem_sf10,17.355887
1757629890,env_16c_16c_1000net,1,lz4,1,8,8,1,1,8,8,16,lineitem_sf10,17.370891
1757629915,env_16c_16c_1000net,1,lz4,1,8,16,1,1,16,8,16,lineitem_sf10,17.371922
1757629955,env_16c_16c_1000net,1,lzo,1,8,1,1,1,1,8,16,lineitem_sf10,32.370883
1757629981,env_16c_16c_1000net,1,lzo,1,8,2,1,1,2,8,16,lineitem_sf10,18.364709
1757630006,env_16c_16c_1000net,1,lzo,1,8,4,1,1,4,8,16,lineitem_sf10,17.362016
1757630031,env_16c_16c_1000net,1,lzo,1,8,8,1,1,8,8,16,lineitem_sf10,17.37377
1757630056,env_16c_16c_1000net,1,lzo,1,8,16,1,1,16,8,16,lineitem_sf10,17.360004
1757630092,env_16c_16c_1000net,1,snappy,1,8,1,1,1,1,8,16,lineitem_sf10,28.36497
1757630116,env_16c_16c_1000net,1,snappy,1,8,2,1,1,2,8,16,lineitem_sf10,17.364754
1757630141,env_16c_16c_1000net,1,snappy,1,8,4,1,1,4,8,16,lineitem_sf10,17.372946
1757630166,env_16c_16c_1000net,1,snappy,1,8,8,1,1,8,8,16,lineitem_sf10,17.366448
1757630191,env_16c_16c_1000net,1,snappy,1,8,16,1,1,16,8,16,lineitem_sf10,17.347116
1757630252,env_16c_16c_1000net,1,zstd,1,8,1,1,1,1,8,16,lineitem_sf10,53.396214
1757630290,env_16c_16c_1000net,1,zstd,1,8,2,1,1,2,8,16,lineitem_sf10,30.439415
1757630315,env_16c_16c_1000net,1,zstd,1,8,4,1,1,4,8,16,lineitem_sf10,17.402957
1757630340,env_16c_16c_1000net,1,zstd,1,8,8,1,1,8,8,16,lineitem_sf10,17.423343
1757630366,env_16c_16c_1000net,1,zstd,1,8,16,1,1,16,8,16,lineitem_sf10,18.422205
