timestamp,env_name,config_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size,est_throughput
1757751653,iot_analysis,xdbc,1,2,1,1,1,1,1,1,1,1024,15360,12288,2,nocomp,0,0,44.586084,3630331853,118.065
1757751687,iot_analysis,bf,1,4,1,2,1,1,1,1,1,256,40960,20480,2,lzo,0,0,26.239078,1314656755,205.38
1757751714,iot_analysis,iot_analysis,1,4,4,4,2,2,3,3,3,128,10240,5120,2,zstd,0,0,20.281647,1101645053,0
1757751742,iot_analysis,backup,1,8,8,4,2,2,4,10,10,256,40960,20480,1,snappy,0,0,21.368984,1318526350,0
1757751770,iot_analysis,icu_analysis,1,4,4,2,2,2,2,2,2,64,5120,2560,2,zstd,0,0,21.459406,1248686863,0
1757751798,iot_analysis,copy,1,4,4,2,2,2,2,4,4,512,40960,40960,1,lz4,0,0,21.328676,1251927587,0
1757751823,iot_analysis,etl,1,8,6,6,4,4,6,8,8,256,15000,15360,2,zstd,0,0,18.044397,1017871454,0
1757752481,backup,xdbc,1,14,3,1,2,2,1,12,1,1024,61440,49152,1,nocomp,0,0,33.320644,10386635811,413.049
1757752573,backup,bf,1,12,2,5,1,1,4,9,1,256,102400,76800,2,zstd,0,0,23.702506,2690252077,648.08
1757752625,backup,iot_analysis,1,4,4,4,2,2,3,3,3,128,10240,5120,2,zstd,0,0,43.897128,3011224942,0
1757752659,backup,backup,1,8,8,4,2,2,4,10,10,256,40960,20480,1,snappy,0,0,26.413406,4103994573,0
1757752728,backup,icu_analysis,1,4,4,2,2,2,2,2,2,64,5120,2560,2,zstd,0,0,61.436359,3422009670,0
1757752774,backup,copy,1,4,4,2,2,2,2,4,4,512,40960,40960,1,lz4,0,0,38.351216,4168214410,0
1757752808,backup,etl,1,8,6,6,4,4,6,8,8,256,15000,15360,2,zstd,0,0,26.604403,2693431802,0
1757753116,icu_analysis,xdbc,1,1,1,1,1,1,1,1,1,1024,15360,15360,2,nocomp,0,0,77.290922,3421071849,45.1
1757753142,icu_analysis,bf,1,1,1,1,1,1,1,1,1,256,20480,20480,2,zstd,0,0,16.057418,353571053,332.02
1757753164,icu_analysis,iot_analysis,1,4,4,4,2,2,3,3,3,128,10240,5120,2,zstd,0,0,15.903848,415006865,0
1757753197,icu_analysis,backup,1,8,8,4,2,2,4,10,10,256,40960,20480,1,snappy,0,0,26.238646,559603392,0
1757753223,icu_analysis,icu_analysis,1,4,4,2,2,2,2,2,2,64,5120,2560,2,zstd,0,0,19.123698,528653971,0
1757753252,icu_analysis,copy,1,4,4,2,2,2,2,4,4,512,40960,40960,1,lz4,0,0,22.190833,472966280,0
1757753275,icu_analysis,etl,1,8,6,6,4,4,6,8,8,256,15000,15360,2,zstd,0,0,17.264725,354482765,0
1757753831,copy,xdbc,1,1,2,1,1,1,1,6,1,1024,15360,27648,1,nocomp,0,0,20.268422,9945909329,434.14599999999996
1757753856,copy,bf,1,2,3,1,1,1,1,7,1,256,35840,51200,1,nocomp,0,0,17.413612,10051470335,513.4999999999999
1757753901,copy,iot_analysis,1,4,4,4,2,2,3,3,3,128,10240,5120,2,zstd,0,0,38.870643,2882994823,0
1757753933,copy,backup,1,8,8,4,2,2,4,10,10,256,40960,20480,1,snappy,0,0,24.416164,3924131978,0
1757753997,copy,icu_analysis,1,4,4,2,2,2,2,2,2,64,5120,2560,2,zstd,0,0,57.551911,3275914677,0
1757754032,copy,copy,1,4,4,2,2,2,2,4,4,512,40960,40960,1,lz4,0,0,28.341846,3984461754,0
1757754066,copy,etl,1,8,6,6,4,4,6,8,8,256,15000,15360,2,zstd,0,0,26.623321,2575597080,0
1757754776,etl,xdbc,1,5,1,1,2,2,1,1,1,1024,30000,15360,1,nocomp,0,0,50.52651,10387769719,302.214
1757754828,etl,bf,1,5,1,2,1,1,1,1,1,256,30000,20480,2,lz4,0,0,44.540254,4059004543,304.228
1757754883,etl,iot_analysis,1,4,4,4,2,2,3,3,3,128,10240,5120,2,zstd,0,0,48.588693,3013197145,0
1757754930,etl,backup,1,8,8,4,2,2,4,10,10,256,40960,20480,1,snappy,0,0,40.703227,4100350217,0
1757754985,etl,icu_analysis,1,4,4,2,2,2,2,2,2,64,5120,2560,2,zstd,0,0,48.038426,3421710535,0
1757755039,etl,copy,1,4,4,2,2,2,2,4,4,512,40960,40960,1,lz4,0,0,47.429173,4167325400,0
1757755089,etl,etl,1,8,6,6,4,4,6,8,8,256,15000,15360,2,zstd,0,0,43.320633,2689218643,0
