timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1757572282,env_8s_2c_500net_lineitem_sf10,1,1,8,2,1,1,2,4,8,1024,49152,58368,1,lzo,0,0,109.394723,4000101217
1757572431,env_8s_2c_500net_lineitem_sf10,1,8,2,8,1,1,2,8,4,1024,70656,58368,1,lzo,0,0,141.381089,4000827151
1757572525,env_8s_2c_500net_lineitem_sf10,1,8,4,8,1,1,4,4,4,1024,76800,52224,1,nocomp,0,0,87.34171,10397288668
1757572636,env_8s_2c_500net_lineitem_sf10,1,1,8,1,1,1,8,1,8,1024,46080,67584,1,lz4,0,0,103.342626,4117675896
1757572742,env_8s_2c_500net_lineitem_sf10,1,1,8,4,1,1,4,1,1,1024,55296,33792,1,snappy,0,0,98.326538,3987558406
1757572854,env_8s_2c_500net_lineitem_sf10,1,1,4,4,1,1,8,4,4,1024,43008,64512,1,lz4,0,0,104.38463,4118897792
1757572961,env_8s_2c_500net_lineitem_sf10,1,1,4,1,1,1,8,1,4,1024,33792,55296,1,lz4,0,0,99.315582,4117800732
1757573095,env_8s_2c_500net_lineitem_sf10,1,1,4,1,1,1,4,8,2,1024,33792,58368,1,lz4,0,0,126.376312,4119266764
1757573177,env_8s_2c_500net_lineitem_sf10,1,2,2,4,1,1,1,2,8,1024,39936,49152,1,nocomp,0,0,74.33668,10389395069
1757573288,env_8s_2c_500net_lineitem_sf10,1,1,8,8,1,1,2,4,8,1024,67584,58368,1,zstd,0,0,103.47002,3161640911
1757573397,env_8s_2c_500net_lineitem_sf10,1,1,2,8,1,1,2,1,2,1024,49152,30720,1,lz4,0,0,101.317177,4117796538
1757573495,env_8s_2c_500net_lineitem_sf10,1,1,2,8,1,1,8,2,2,1024,49152,52224,1,zstd,0,0,90.3741,3161067654
