timestamp,env,repetition,system,table,time
1757573496,figurePandasPG,1,connectorx,lineitem_sf10,65.182331
1757573562,figurePandasPG,2,connectorx,lineitem_sf10,62.333457
1757573624,figurePandasPG,1,duckdb,lineitem_sf10,161.691314
1757573786,figurePandasPG,2,duckdb,lineitem_sf10,163.141147
1757573949,figurePandasPG,1,modin,lineitem_sf10,307.933743
1757574257,figurePandasPG,2,modin,lineitem_sf10,301.137084
1757574558,figurePandasPG,1,turbodbc,lineitem_sf10,409.498199
1757574967,figurePandasPG,2,turbodbc,lineitem_sf10,469.966362
1757575437,figurePandasPG,1,connectorx,ss13husallm,10.804101
1757575448,figurePandasPG,2,connectorx,ss13husallm,10.800131
1757575459,figurePandasPG,1,duckdb,ss13husallm,57.124745
1757575516,figurePandasPG,2,duckdb,ss13husallm,57.119303
1757575573,figurePandasPG,1,modin,ss13husallm,29.153672
1757575602,figurePandasPG,2,modin,ss13husallm,29.428546
1757575632,figurePandasPG,1,turbodbc,ss13husallm,84.607629
1757575716,figurePandasPG,2,turbodbc,ss13husallm,79.093998
1757575796,figurePandasPG,1,connectorx,iotm,13.63322
1757575809,figurePandasPG,2,connectorx,iotm,13.580596
1757575823,figurePandasPG,1,duckdb,iotm,62.203498
1757575885,figurePandasPG,2,duckdb,iotm,61.600928
1757575947,figurePandasPG,1,modin,iotm,49.907184
1757575996,figurePandasPG,2,modin,iotm,49.88992
1757576046,figurePandasPG,1,turbodbc,iotm,177.196246
1757576224,figurePandasPG,2,turbodbc,iotm,177.210834
1757576401,figurePandasPG,1,connectorx,inputeventsm,15.783777
1757576417,figurePandasPG,2,connectorx,inputeventsm,15.715034
1757576432,figurePandasPG,1,duckdb,inputeventsm,40.761858
1757576473,figurePandasPG,2,duckdb,inputeventsm,42.245205
1757576515,figurePandasPG,1,modin,inputeventsm,41.829249
1757576557,figurePandasPG,2,modin,inputeventsm,42.51624
1757576600,figurePandasPG,1,turbodbc,inputeventsm,89.546968
1757576689,figurePandasPG,2,turbodbc,inputeventsm,101.252871
1757577134,figurePandasPG,1,xdbc,lineitem_sf10,49.370546
1757577185,figurePandasPG,2,xdbc,lineitem_sf10,44.891612
1757577197,figurePandasPG,1,xdbc,ss13husallm,6.443018
1757577210,figurePandasPG,2,xdbc,ss13husallm,6.263647
1757577230,figurePandasPG,1,xdbc,iotm,14.425171
1757577251,figurePandasPG,2,xdbc,iotm,15.021793
1757577278,figurePandasPG,1,xdbc,inputeventsm,21.089236
1757577301,figurePandasPG,2,xdbc,inputeventsm,17.113895
