timestamp,env,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1757626874,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,99.583274
1757626980,test,1,2,1,1,1,1,1,1,1,lineitem_sf10,99.60985
1757627087,test,1,4,1,1,1,1,1,1,1,lineitem_sf10,100.600251
1757627195,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,100.619689
1757627301,test,1,16,1,1,1,1,1,1,1,lineitem_sf10,99.607235
1757627407,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,99.656575
1757627514,test,1,1,2,1,1,1,1,1,1,lineitem_sf10,99.628019
1757627620,test,1,1,4,1,1,1,1,1,1,lineitem_sf10,99.610693
1757627726,test,1,1,8,1,1,1,1,1,1,lineitem_sf10,99.604181
1757627834,test,1,1,16,1,1,1,1,1,1,lineitem_sf10,100.62154
1757627940,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,99.620795
1757628046,test,1,1,1,2,1,1,1,1,1,lineitem_sf10,99.599329
1757628152,test,1,1,1,4,1,1,1,1,1,lineitem_sf10,99.602087
1757628258,test,1,1,1,8,1,1,1,1,1,lineitem_sf10,98.60337
1757628364,test,1,1,1,16,1,1,1,1,1,lineitem_sf10,99.630807
1757628470,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,99.59586
1757628577,test,1,1,1,1,1,1,2,1,1,lineitem_sf10,99.635052
1757628683,test,1,1,1,1,1,1,4,1,1,lineitem_sf10,99.629184
1757628789,test,1,1,1,1,1,1,8,1,1,lineitem_sf10,99.62946
1757628895,test,1,1,1,1,1,1,16,1,1,lineitem_sf10,99.601414
1757629002,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,99.601267
1757629063,test,1,1,1,1,1,1,1,2,1,lineitem_sf10,54.600022
1757629100,test,1,1,1,1,1,1,1,4,1,lineitem_sf10,30.585363
1757629136,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,28.610942
1757629172,test,1,1,1,1,1,1,1,16,1,lineitem_sf10,29.619202
1757629278,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,99.61645
1757629385,test,1,1,1,1,1,1,1,1,2,lineitem_sf10,99.641743
1757629491,test,1,1,1,1,1,1,1,1,4,lineitem_sf10,99.61751
1757629597,test,1,1,1,1,1,1,1,1,8,lineitem_sf10,99.615684
1757629703,test,1,1,1,1,1,1,1,1,16,lineitem_sf10,99.633897
