timestamp,env,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1757633363,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.607094
1757633398,test,1,2,1,1,1,1,1,8,1,lineitem_sf10,28.638673
1757633435,test,1,4,1,1,1,1,1,8,1,lineitem_sf10,29.631244
1757633471,test,1,8,1,1,1,1,1,8,1,lineitem_sf10,29.665349
1757633507,test,1,16,1,1,1,1,1,8,1,lineitem_sf10,29.601319
1757633544,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.609711
1757633579,test,1,1,2,1,1,1,1,8,1,lineitem_sf10,28.634401
1757633614,test,1,1,4,1,1,1,1,8,1,lineitem_sf10,28.629716
1757633650,test,1,1,8,1,1,1,1,8,1,lineitem_sf10,28.634284
1757633685,test,1,1,16,1,1,1,1,8,1,lineitem_sf10,28.613916
1757633721,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.60893
1757633751,test,1,1,1,2,1,1,1,8,1,lineitem_sf10,23.606605
1757633782,test,1,1,1,4,1,1,1,8,1,lineitem_sf10,23.579165
1757633812,test,1,1,1,8,1,1,1,8,1,lineitem_sf10,23.660574
1757633842,test,1,1,1,16,1,1,1,8,1,lineitem_sf10,23.615847
1757633879,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.616218
1757633914,test,1,1,1,1,1,1,2,8,1,lineitem_sf10,28.662744
1757633949,test,1,1,1,1,1,1,4,8,1,lineitem_sf10,28.62774
1757633986,test,1,1,1,1,1,1,8,8,1,lineitem_sf10,29.6344
1757634022,test,1,1,1,1,1,1,16,8,1,lineitem_sf10,29.606439
1757634128,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,99.598658
1757634188,test,1,1,1,1,1,1,1,2,1,lineitem_sf10,53.612151
1757634226,test,1,1,1,1,1,1,1,4,1,lineitem_sf10,30.625485
1757634262,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.624164
1757634298,test,1,1,1,1,1,1,1,16,1,lineitem_sf10,29.636398
1757634335,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.637733
1757634371,test,1,1,1,1,1,1,1,8,2,lineitem_sf10,29.610522
1757634407,test,1,1,1,1,1,1,1,8,4,lineitem_sf10,29.606883
1757634443,test,1,1,1,1,1,1,1,8,8,lineitem_sf10,28.638891
1757634478,test,1,1,1,1,1,1,1,8,16,lineitem_sf10,28.63076
