timestamp,env,repetition,bufferpool_size,buffer_size,table,time
1757575334,test,1,2048,16,lineitem_sf10_nocomp,35.736012
1757575371,test,1,2048,32,lineitem_sf10_nocomp,29.774748
1757575405,test,1,2048,64,lineitem_sf10_nocomp,25.948503
1757575449,test,1,4096,16,lineitem_sf10_nocomp,36.705541
1757575486,test,1,4096,32,lineitem_sf10_nocomp,29.738874
1757575519,test,1,4096,64,lineitem_sf10_nocomp,25.044024
1757575550,test,1,4096,128,lineitem_sf10_nocomp,23.664684
1757575593,test,1,8192,16,lineitem_sf10_nocomp,35.541718
1757575629,test,1,8192,32,lineitem_sf10_nocomp,28.784672
1757575663,test,1,8192,64,lineitem_sf10_nocomp,25.951964
1757575694,test,1,8192,128,lineitem_sf10_nocomp,23.608235
1757575724,test,1,8192,256,lineitem_sf10_nocomp,22.411868
1757575768,test,1,16384,16,lineitem_sf10_nocomp,36.626021
1757575803,test,1,16384,32,lineitem_sf10_nocomp,27.945058
1757575838,test,1,16384,64,lineitem_sf10_nocomp,26.990978
1757575868,test,1,16384,128,lineitem_sf10_nocomp,22.700842
1757575898,test,1,16384,256,lineitem_sf10_nocomp,22.427169
1757575927,test,1,16384,512,lineitem_sf10_nocomp,21.304431
1757575972,test,1,32768,16,lineitem_sf10_nocomp,37.907735
1757576008,test,1,32768,32,lineitem_sf10_nocomp,27.975187
1757576039,test,1,32768,64,lineitem_sf10_nocomp,24.250751
1757576071,test,1,32768,128,lineitem_sf10_nocomp,24.670485
1757576101,test,1,32768,256,lineitem_sf10_nocomp,22.46159
1757576130,test,1,32768,512,lineitem_sf10_nocomp,21.347194
1757576159,test,1,32768,1024,lineitem_sf10_nocomp,21.307302
1757576201,test,1,65536,16,lineitem_sf10_nocomp,34.761002
1757576238,test,1,65536,32,lineitem_sf10_nocomp,28.808075
1757576271,test,1,65536,64,lineitem_sf10_nocomp,26.074887
1757576304,test,1,65536,128,lineitem_sf10_nocomp,24.646221
1757576333,test,1,65536,256,lineitem_sf10_nocomp,21.509796
1757576361,test,1,65536,512,lineitem_sf10_nocomp,21.355132
1757576392,test,1,65536,1024,lineitem_sf10_nocomp,23.346152
