timestamp,env,repetition,client_cpu,network,system,table,time
1757636668,figurePandasPG,1,1,0,connectorx[aggressive],lineitem_sf10,228.765488
1757636896,figurePandasPG,1,1,0,connectorx[conservative],lineitem_sf10,195.008667
1757637092,figurePandasPG,1,2,0,connectorx[aggressive],lineitem_sf10,137.403659
1757637230,figurePandasPG,1,2,0,connectorx[conservative],lineitem_sf10,136.056472
1757637367,figurePandasPG,1,4,0,connectorx[aggressive],lineitem_sf10,83.371573
1757637450,figurePandasPG,1,4,0,connectorx[conservative],lineitem_sf10,94.146608
1757637545,figurePandasPG,1,8,0,connectorx[aggressive],lineitem_sf10,58.12403
1757637603,figurePandasPG,1,8,0,connectorx[conservative],lineitem_sf10,66.909862
1757637671,figurePandasPG,1,16,0,connectorx[aggressive],lineitem_sf10,63.276413
1757637734,figurePandasPG,1,16,0,connectorx[conservative],lineitem_sf10,63.155144
1757637799,figurePandasPG,1,8,125,connectorx,lineitem_sf10,128.296682
1757637929,figurePandasPG,1,8,250,connectorx,lineitem_sf10,84.067915
1757638015,figurePandasPG,1,8,500,connectorx,lineitem_sf10,68.397024
1757638085,figurePandasPG,1,8,1000,connectorx,lineitem_sf10,66.268613
1757638152,figurePandasPG,1,8,0,connectorx,lineitem_sf10,64.990478
1757638412,figurePandasPG,1,1,0,xdbc[aggressive],lineitem_sf10,188.602309
1757638502,figurePandasPG,1,1,0,xdbc[conservative],lineitem_sf10,83.488914
1757638590,figurePandasPG,1,2,0,xdbc[aggressive],lineitem_sf10,80.678674
1757638642,figurePandasPG,1,2,0,xdbc[conservative],lineitem_sf10,46.169815
1757638702,figurePandasPG,1,4,0,xdbc[aggressive],lineitem_sf10,53.782762
1757638751,figurePandasPG,1,4,0,xdbc[conservative],lineitem_sf10,42.171446
1757638813,figurePandasPG,1,8,0,xdbc[aggressive],lineitem_sf10,55.756925
1757638872,figurePandasPG,1,8,0,xdbc[conservative],lineitem_sf10,52.408498
1757638961,figurePandasPG,1,16,0,xdbc[aggressive],lineitem_sf10,82.808508
1757639023,figurePandasPG,1,16,0,xdbc[conservative],lineitem_sf10,55.157711
1757639087,figurePandasPG,1,8,125,xdbc[comp],lineitem_sf10,55.845578
1757639235,figurePandasPG,1,8,125,xdbc[nocomp],lineitem_sf10,141.628744
1757639296,figurePandasPG,1,8,250,xdbc[comp],lineitem_sf10,52.940215
1757639398,figurePandasPG,1,8,250,xdbc[nocomp],lineitem_sf10,95.590879
1757639457,figurePandasPG,1,8,500,xdbc[comp],lineitem_sf10,50.572378
1757639517,figurePandasPG,1,8,500,xdbc[nocomp],lineitem_sf10,53.557729
1757639607,figurePandasPG,1,8,1000,xdbc[comp],lineitem_sf10,81.861094
1757639689,figurePandasPG,1,8,1000,xdbc[nocomp],lineitem_sf10,74.940198
1757639744,figurePandasPG,1,8,0,xdbc[comp],lineitem_sf10,47.639087
1757639796,figurePandasPG,1,8,0,xdbc[nocomp],lineitem_sf10,46.500241
