timestamp,env,repetition,system,table,time
1757626474,figure_11,1,xdbc-skip0-format1,lineitem_sf10,10.309242
1757626491,figure_11,2,xdbc-skip0-format1,lineitem_sf10,10.344025
1757626509,figure_11,1,xdbc-skip0-format2,lineitem_sf10,11.30926
1757626527,figure_11,2,xdbc-skip0-format2,lineitem_sf10,11.318835
1757626549,figure_11,1,xdbc-skip0-format3,lineitem_sf10,14.318852
1757626571,figure_11,2,xdbc-skip0-format3,lineitem_sf10,15.33606
1757626580,figure_11,1,xdbc-skip0-format1,ss13husallm,3.261627
1757626590,figure_11,2,xdbc-skip0-format1,ss13husallm,3.26877
1757626599,figure_11,1,xdbc-skip0-format2,ss13husallm,3.275687
1757626609,figure_11,2,xdbc-skip0-format2,ss13husallm,3.271364
1757626622,figure_11,1,xdbc-skip0-format3,ss13husallm,7.315589
1757626636,figure_11,2,xdbc-skip0-format3,ss13husallm,7.302175
1757626652,figure_11,1,xdbc-skip0-format1,iotm,9.274514
1757626667,figure_11,2,xdbc-skip0-format1,iotm,9.268029
1757626684,figure_11,1,xdbc-skip0-format2,iotm,10.276496
1757626701,figure_11,2,xdbc-skip0-format2,iotm,10.272959
1757626719,figure_11,1,xdbc-skip0-format3,iotm,12.286389
1757626738,figure_11,2,xdbc-skip0-format3,iotm,12.282062
1757626748,figure_11,1,xdbc-skip0-format1,inputeventsm,3.291518
1757626757,figure_11,2,xdbc-skip0-format1,inputeventsm,3.287301
1757626767,figure_11,1,xdbc-skip0-format2,inputeventsm,3.277018
1757626778,figure_11,2,xdbc-skip0-format2,inputeventsm,4.281472
1757626788,figure_11,1,xdbc-skip0-format3,inputeventsm,4.291613
1757626799,figure_11,2,xdbc-skip0-format3,inputeventsm,4.29908
1757626814,figure_11,1,xdbc-skip1-formatNone,lineitem_sf10,8.264814
1757626829,figure_11,2,xdbc-skip1-formatNone,lineitem_sf10,8.255071
1757626837,figure_11,1,xdbc-skip1-formatNone,ss13husallm,1.259407
1757626844,figure_11,2,xdbc-skip1-formatNone,ss13husallm,1.227731
1757626854,figure_11,1,xdbc-skip1-formatNone,iotm,3.240919
1757626864,figure_11,2,xdbc-skip1-formatNone,iotm,3.266142
1757626873,figure_11,1,xdbc-skip1-formatNone,inputeventsm,2.246892
1757626881,figure_11,2,xdbc-skip1-formatNone,inputeventsm,2.227222
