transfer_id,total_time,rcv_wait_time,rcv_proc_time,rcv_throughput,rcv_throughput_pb,free_load,decomp_wait_time,decomp_proc_time,decomp_throughput,decomp_throughput_pb,decomp_load,ser_wait_time,ser_proc_time,ser_throughput,ser_throughput_pb,ser_load,write_wait_time,write_proc_time,write_throughput,write_throughput_pb,write_load
1749481866051917979,21414,2050.00,10314.00,114.07,130.31,22.80,14002.00,1834.00,84.87,732.82,1.55,7703.00,11757.00,69.06,114.31,3.05,19195.00,268.00,69.05,5014.93,0.00
1749481935059784536,14385,2058.00,3153.00,290.03,426.26,19.31,6961.00,1806.00,153.28,744.19,2.38,556.00,11894.00,107.94,113.00,4.77,12193.00,260.00,107.92,5169.23,0.00
1749482091800717182,14383,2026.00,3095.00,295.51,434.25,19.54,6771.00,1794.00,156.92,749.16,2.31,514.00,11624.00,110.73,115.62,4.77,11898.00,242.00,110.70,5553.72,0.00
1749482111696700514,14383,1983.00,3115.00,297.02,431.46,19.54,6748.00,1784.00,157.51,753.36,2.31,514.00,11595.00,110.99,115.91,4.62,11872.00,239.00,110.96,5623.43,0.00
1749482131585236956,14392,2009.00,3101.00,296.23,433.41,19.54,6767.00,1779.00,157.25,755.48,2.31,522.00,11599.00,110.88,115.87,4.62,11885.00,238.00,110.85,5647.06,0.00
1749482151522234331,14381,2048.00,3094.00,294.09,434.39,19.38,6823.00,1769.00,156.42,759.75,2.38,516.00,11666.00,110.32,115.21,4.77,11944.00,241.00,110.29,5576.76,0.00
1749482171512306867,14375,2006.00,3096.00,296.82,434.11,19.62,6769.00,1767.00,157.45,760.61,2.31,507.00,11602.00,110.99,115.84,4.69,11874.00,237.00,110.96,5670.89,0.00
1749482191400107763,14385,2015.00,3108.00,295.51,432.43,19.38,6788.00,1772.00,157.01,758.47,2.31,526.00,11608.00,110.76,115.78,4.62,11893.00,243.00,110.74,5530.86,0.00
1749482211373820138,14394,2467.00,2688.00,293.26,500.00,19.15,6858.00,1769.00,155.77,759.75,2.62,525.00,11675.00,110.15,115.12,4.69,11956.00,249.00,110.11,5397.59,0.00
1749482231191921110,14380,3605.00,2675.00,257.75,550.28,18.15,7944.00,1775.00,151.46,829.30,3.15,509.00,11642.00,121.13,126.44,4.85,11905.00,251.00,121.08,5864.54,0.00
1749482251168398573,14389,5514.00,2553.00,222.01,651.78,17.69,8226.00,1815.00,165.72,916.80,3.54,565.00,11646.00,136.26,142.88,4.92,11957.00,256.00,136.24,6500.00,0.00
1749482271136877059,6375,0.00,1180.00,325.42,325.42,25.80,720.00,460.00,325.42,834.78,0.00,566.00,3445.00,95.74,111.47,2.00,3952.00,70.00,95.47,5485.71,0.00
1749482283070089353,14367,2006.00,3102.00,296.49,433.27,19.46,6775.00,1774.00,157.19,757.61,2.31,515.00,11613.00,110.82,115.73,4.62,11884.00,247.00,110.79,5441.30,0.00
1749482302890729478,14376,2024.00,3099.00,295.45,433.69,19.46,6819.00,1750.00,156.83,768.00,2.31,521.00,11639.00,110.52,115.47,4.62,11918.00,253.00,110.43,5312.25,0.00
1749482322770302442,14369,2018.00,3085.00,296.43,435.66,19.62,6819.00,1727.00,157.27,778.23,2.31,503.00,11622.00,110.85,115.64,4.69,11895.00,240.00,110.74,5600.00,0.00
1749482342589276601,14384,2054.00,3078.00,294.61,436.65,19.46,6848.00,1729.00,156.68,777.33,2.38,500.00,11654.00,110.58,115.33,4.69,11922.00,243.00,110.48,5530.86,0.00
1749482362542160762,14374,2012.00,3141.00,293.19,427.89,19.46,6878.00,1724.00,156.24,779.58,2.38,539.00,11638.00,110.36,115.48,4.62,11936.00,253.00,110.25,5312.25,0.00
1749482382360588548,14388,2015.00,3100.00,296.04,433.55,19.46,6780.00,1777.00,157.05,756.33,2.31,513.00,11623.00,110.74,115.63,4.62,11895.00,244.00,110.72,5508.20,0.00
1749482402114135037,14312,1339.00,3193.00,339.22,420.92,19.00,6535.00,1721.00,162.72,390.25,2.23,497.00,11614.00,110.96,115.72,4.69,11898.00,215.00,110.95,6251.16,0.00
1749482421780187407,14316,1313.00,3184.00,342.42,422.11,17.92,4611.50,3606.75,167.79,181.83,2.23,491.00,11579.00,111.34,116.07,4.00,11864.00,217.00,111.25,6193.55,0.00
1749482441307617134,14316,26.00,2777.00,483.80,483.98,16.23,2731.88,4910.25,173.71,35.09,1.92,488.00,11580.00,111.36,116.06,3.38,11868.00,210.00,111.27,6400.00,0.00
1749482460881690802,14311,616.00,3307.00,400.95,406.41,14.77,1757.44,4502.44,215.58,22.81,1.00,483.00,11582.00,111.39,116.04,1.77,11861.00,214.00,111.30,6280.37,0.00
1749482480395514947,14310,2016.00,3070.00,297.74,437.79,19.62,6739.00,1784.00,157.69,753.36,2.31,492.00,11599.00,111.15,115.87,4.69,11879.00,214.00,111.13,6280.37,0.00
1749482499913031977,8307,0.00,2754.00,488.02,488.02,20.29,2856.00,1652.00,298.14,813.56,1.00,554.00,5797.50,211.57,115.86,4.29,6136.00,226.00,211.22,5946.90,0.00
1749482513390336192,5309,0.00,2831.00,474.58,474.74,21.50,1518.00,1371.00,465.05,980.31,0.00,669.50,3007.00,365.90,111.58,2.00,3522.00,289.00,352.66,4650.52,0.00
1749482523881364583,5308,0.00,2931.00,458.55,458.55,20.75,1476.00,1504.00,451.01,893.62,0.00,1455.75,1767.25,419.64,95.58,1.00,3275.00,283.00,377.63,4749.12,0.00
1749482534401557074,5307,0.00,2935.00,457.92,457.92,20.25,1404.00,1593.00,448.45,843.69,0.00,1609.25,1129.62,427.34,73.81,0.50,3318.00,292.00,372.30,4602.74,0.00
