transfer_id,total_time,read_wait_time,read_proc_time,read_throughput,read_throughput_pb,free_load,deser_wait_time,deser_proc_time,deser_throughput,deser_throughput_pb,deser_load,comp_wait_time,comp_proc_time,comp_throughput,comp_throughput_pb,comp_load,send_wait_time,send_proc_time,send_throughput,send_throughput_pb,send_load
1749480249077214343,1632597,900.00,478.00,881.80,2543.93,27.55,1020.00,1552.00,533.97,865.98,1.45,7864.00,2111.00,134.74,636.67,1.45,9720.00,902.00,126.53,1490.02,0.27
1749481935059784536,8586,894.00,457.00,899.41,2660.83,24.00,995.00,1545.00,540.85,869.90,3.50,732.00,2102.00,474.24,639.39,3.50,2566.00,1003.00,376.58,1339.98,0.50
1749482091800717182,8577,886.00,449.00,910.18,2708.24,24.00,988.00,1538.00,543.91,873.86,3.50,689.00,2082.00,485.02,645.53,3.50,2514.00,973.00,385.43,1381.29,0.50
1749482111696700514,8541,516.00,229.00,816.11,33330.42,24.25,1004.00,1547.00,538.46,868.78,3.25,704.00,2086.00,481.55,644.30,3.25,2535.00,929.00,387.88,1446.72,0.50
1749482131585236956,8581,221.75,113.50,908.82,48674.06,24.00,989.00,1536.00,544.13,875.00,3.50,674.00,2102.00,484.15,639.39,3.50,2519.00,959.00,386.43,1401.46,0.50
1749482151522234331,8544,127.38,56.88,828.90,56339.29,24.25,989.00,1535.00,544.57,875.57,3.25,669.00,2101.00,485.02,639.70,3.25,2524.00,981.00,383.45,1370.03,0.50
1749482171512306867,8552,79.44,30.06,699.65,60163.09,24.75,991.00,1541.00,542.81,872.16,2.50,675.00,2094.00,485.20,641.83,2.50,2514.00,952.00,387.77,1411.76,0.50
1749482191400107763,8577,895.00,449.00,904.76,2708.24,24.00,993.00,1549.00,540.41,867.66,3.50,689.00,2092.00,483.11,642.45,3.50,2522.00,967.00,385.10,1389.87,0.50
1749482211373820138,9594,355.00,364.00,1691.24,3340.66,24.60,520.00,995.50,906.70,675.74,1.40,354.00,2081.00,551.72,645.84,1.40,2080.00,1929.00,335.16,696.73,0.60
1749482231191921110,10584,0.00,350.00,3474.29,3474.29,24.33,414.50,1278.50,937.81,322.71,1.33,335.00,2078.00,610.03,708.37,1.33,1987.00,3152.00,286.44,467.01,1.17
1749482251168398573,11599,0.00,465.00,2609.44,2615.05,22.57,253.88,1410.38,1125.90,171.76,1.14,1395.00,2101.00,475.97,792.00,1.14,1878.00,4475.00,261.92,371.84,2.00
1749482283070089353,8532,907.00,445.00,898.74,2732.58,24.00,990.00,1549.00,541.06,867.66,3.50,681.00,2093.00,484.32,642.14,3.50,2526.00,946.00,387.10,1420.72,0.50
1749482302890729478,8587,1010.00,456.00,829.47,2666.67,24.50,986.00,1530.00,545.90,878.43,3.25,1670.50,1050.50,492.83,650.17,3.25,2513.00,1462.00,338.11,919.29,0.25
1749482322770302442,8542,894.00,447.00,906.11,2720.36,24.25,990.00,1538.00,543.47,873.86,3.50,1689.50,1000.00,499.71,422.41,3.50,2510.00,1454.00,339.05,924.35,0.25
1749482342589276601,8551,1006.00,454.00,832.31,2678.41,24.50,995.00,1535.00,543.03,875.57,3.25,1564.88,781.38,498.06,261.69,3.25,2513.00,1479.00,336.59,908.72,0.25
1749482362542160762,9549,1291.00,475.00,688.56,2560.00,25.80,1017.00,1545.00,536.10,869.90,2.00,1423.94,624.69,491.20,209.96,2.00,2565.00,1449.00,334.74,927.54,0.40
1749482382360588548,8612,885.00,461.00,902.75,2637.74,24.00,993.00,1540.00,542.15,872.73,3.50,683.00,2091.00,484.32,642.75,3.50,2520.00,955.00,386.65,1407.33,0.50
1749482402114135037,7508,928.00,417.00,903.42,2916.07,22.67,991.00,1544.00,541.94,870.47,4.67,659.00,2099.00,487.31,640.30,4.67,2623.00,354.00,451.46,3796.61,0.00
1749482421780187407,7475,916.00,419.00,910.18,2902.15,23.00,986.00,1537.00,544.57,874.43,4.67,644.00,2100.00,489.80,640.00,4.67,2614.00,255.00,468.46,5270.59,0.00
1749482441307617134,7484,914.00,424.00,908.82,2867.92,23.00,989.00,1540.00,543.25,872.73,4.67,654.00,2096.00,488.73,641.22,4.67,2638.00,113.00,488.37,11893.81,0.00
1749482460881690802,7476,921.00,425.00,902.75,2861.18,22.67,990.00,1544.00,541.94,870.47,4.67,651.00,2104.00,487.66,638.78,4.67,2644.00,136.00,483.28,9882.35,0.00
1749482480395514947,8468,917.00,419.00,909.50,2902.15,24.25,988.00,1538.00,543.69,873.86,3.50,667.00,2081.00,489.08,645.84,3.50,2508.00,946.00,389.11,1420.72,0.50
1749482499913031977,7454,912.00,430.00,906.11,2827.91,22.67,988.00,1543.00,542.59,871.03,4.67,653.00,2100.00,488.19,640.00,4.67,2636.00,118.00,487.84,11389.83,0.00
1749482513390336192,7466,896.00,462.00,895.43,2632.03,22.67,1028.00,1577.00,527.47,852.25,4.67,501.00,2328.00,474.91,577.32,4.67,2682.00,150.00,474.58,8960.00,0.00
1749482523881364583,7465,899.00,472.00,886.30,2576.27,22.67,1037.00,1625.00,517.12,827.08,4.67,578.00,2351.00,458.70,571.67,4.67,2783.00,148.00,458.55,9081.08,0.00
1749482534401557074,7456,927.00,454.00,880.52,2678.41,22.67,1051.00,1610.00,516.72,834.78,4.67,468.00,2464.00,458.23,545.45,4.67,2763.00,172.00,457.92,7813.95,0.00
1749482544942703176,8470,916.00,424.00,906.79,2867.92,24.00,989.00,1536.00,544.13,875.00,3.50,665.00,2094.00,487.13,641.83,3.50,2515.00,960.00,386.65,1400.00,0.50
1749482564525579999,8467,917.00,427.00,904.76,2847.78,24.00,986.00,1545.00,542.81,869.90,3.50,659.00,2092.00,488.37,642.45,3.50,2507.00,945.00,389.23,1422.22,0.50
1749482584034624395,9466,925.00,423.00,901.41,2874.70,24.40,990.00,1544.00,541.94,870.47,2.80,663.00,2091.00,487.84,642.75,2.80,2278.00,2234.00,297.81,601.61,1.20
