transfer_id,total_time,rcv_wait_time,rcv_proc_time,rcv_throughput,rcv_throughput_pb,free_load,decomp_wait_time,decomp_proc_time,decomp_throughput,decomp_throughput_pb,decomp_load,ser_wait_time,ser_proc_time,ser_throughput,ser_throughput_pb,ser_load,write_wait_time,write_proc_time,write_throughput,write_throughput_pb,write_load
1752308884831742993,101023,88982.00,11619.00,93.88,812.79,2.11,100447.00,156.00,93.87,60536.86,0.94,2492.00,98115.00,93.87,96.25,0.95,92455.00,8152.00,93.87,1158.46,0.01
1752308992815653453,8010,138.00,7535.00,973.42,991.37,6.25,7644.00,29.00,973.42,257586.21,0.00,7647.00,28.00,973.42,266785.71,0.12,3163.00,4511.00,973.42,1655.95,0.25
1752309007659581588,98040,87681.00,9447.00,97.20,999.26,2.10,97091.00,48.00,97.18,196666.67,0.95,2371.00,94779.00,97.17,99.60,0.95,89972.00,7178.00,97.17,1315.13,0.02
1752309112541819285,8025,27.00,7897.00,931.99,935.29,6.88,7917.00,8.00,931.99,923250.00,0.00,7918.00,8.00,931.99,923250.00,0.00,4461.00,3465.00,931.99,2131.60,0.00
1752309127402048145,96079,86839.00,8969.00,98.57,1052.51,2.15,95798.00,50.00,98.49,188800.00,0.97,2338.00,93581.00,98.42,100.88,0.97,88172.00,7749.00,98.41,1218.22,0.00
1752309230321961237,8068,8.00,7682.00,958.00,959.13,6.62,7685.00,5.00,958.00,1473600.00,0.00,7686.00,5.00,958.00,1473600.00,0.12,4426.00,3266.00,957.88,2255.97,0.00
1752309245177290555,96216,86610.00,8883.00,99.01,1062.70,2.08,95499.00,160.00,98.68,59000.00,0.97,2420.00,93549.00,98.37,100.91,0.97,89176.00,6802.00,98.36,1387.83,0.00
1752309348266604851,8206,3.00,7848.00,937.34,937.82,6.75,7850.00,1.00,937.34,7360000.00,0.00,7850.00,1.00,937.34,7360000.00,0.00,4331.00,3528.00,936.51,2086.17,0.00
1752309363320016930,25012,22466.00,1615.00,53.98,804.80,2.24,24060.00,26.00,53.96,49990.38,0.96,311.00,23780.00,53.95,54.66,0.96,23091.00,1001.00,53.95,1298.45,0.00
1752309394642022119,1010,18.00,871.00,1364.04,1393.80,8.00,884.00,5.00,1364.04,242800.00,0.00,886.00,5.00,1364.04,242800.00,0.00,369.00,522.00,1364.04,2325.67,0.00
1752309401910496188,23029,21628.00,1259.00,56.71,1030.18,2.22,22882.00,22.00,56.63,58954.55,0.96,312.00,22613.00,56.58,57.36,0.91,22112.00,813.00,56.58,1595.33,0.04
1752309431208403166,1027,5.00,882.00,1347.97,1357.14,8.00,886.00,1.00,1347.97,1197000.00,0.00,887.00,1.00,1347.97,1197000.00,0.00,375.00,513.00,1347.97,2333.33,0.00
1752309438502214250,23072,21348.00,1327.00,57.33,976.64,2.22,22676.00,70.00,56.97,18514.29,0.96,334.00,22539.00,56.66,57.50,0.96,22056.00,819.00,56.65,1582.42,0.00
