date,xdbc_version,host,run,server_cpu,client_cpu,network,network_latency,network_loss,source_system,target_system,table,server_bufferpool_size,client_bufferpool_size,buffer_size,compression,format,skip_ser,skip_deser,read_par,read_partitions,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,time,datasize,avg_cpu_server,avg_cpu_client
1752308884831742993,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,lineitem_sf10,2048,2048,256,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,101.3234,0,0,0
1752308992815653453,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,lineitem_sf10,2048,2048,256,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,8.257123,0,0,0
1752309007659581588,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,lineitem_sf10,8192,8192,1024,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,98.247035,0,0,0
1752309112541819285,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,lineitem_sf10,8192,8192,1024,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,8.223808,0,0,0
1752309127402048145,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,lineitem_sf10,32768,32768,4096,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,96.270108,0,0,0
1752309230321961237,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,lineitem_sf10,32768,32768,4096,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,8.257051,0,0,0
1752309245177290555,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,lineitem_sf10,131072,131072,16384,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,96.412633,0,0,0
1752309348266604851,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,lineitem_sf10,131072,131072,16384,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,8.401502,0,0,0
1752309363320016930,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,ss13husallm,2048,2048,256,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,25.214979,0,0,0
1752309394642022119,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,ss13husallm,2048,2048,256,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,1.182018,0,0,0
1752309401910496188,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,ss13husallm,8192,8192,1024,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,23.213766,0,0,0
1752309431208403166,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,ss13husallm,8192,8192,1024,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,1.209426,0,0,0
1752309438502214250,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,ss13husallm,32768,32768,4096,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,23.256383,0,0,0
1752309467811104037,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,ss13husallm,32768,32768,4096,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,1.251937,0,0,0
1752309475201438569,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,ss13husallm,131072,131072,16384,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,24.409622,0,0,0
1752309505686542163,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,ss13husallm,131072,131072,16384,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,1.399746,0,0,0
1752309513228737548,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,iotm,2048,2048,256,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,107.238015,0,0,0
1752309626746490590,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,iotm,2048,2048,256,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,3.223752,0,0,0
1752309636310968792,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,iotm,8192,8192,1024,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,106.233895,0,0,0
1752309748783332851,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,iotm,8192,8192,1024,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,3.216791,0,0,0
1752309758282686121,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,iotm,32768,32768,4096,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,105.281272,0,0,0
1752309869864504942,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,iotm,32768,32768,4096,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,3.256355,0,0,0
1752309879394436115,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,iotm,131072,131072,16384,nocomp,1,0,0,1,1,1,1,1,1,1,1,1,105.395906,0,0,0
1752309991024122705,11,sr630-wn-a-21,1,16,16,0,0,0,csv,csv,iotm,131072,131072,16384,nocomp,1,1,1,1,1,1,1,1,1,1,1,1,3.411601,0,0,0
