transfer_id,total_time,read_wait_time,read_proc_time,read_throughput,read_throughput_pb,free_load,deser_wait_time,deser_proc_time,deser_throughput,deser_throughput_pb,deser_load,comp_wait_time,comp_proc_time,comp_throughput,comp_throughput_pb,comp_load,send_wait_time,send_proc_time,send_throughput,send_throughput_pb,send_load
1752256067505359654,30895,5609.00,338.75,199.09,875.74,6.38,19.50,24759.50,380.96,95.32,3.73,25063.00,104.00,375.09,90769.23,3.73,9566.00,15838.00,371.58,596.03,0.65
1752256514233596027,41790,5217.00,120.75,77.94,866.67,3.50,12532.75,12924.75,131.90,64.39,3.54,26352.00,606.00,123.45,5491.75,3.54,2144.00,25310.00,121.22,131.49,1.79
1752258559147479225,12058,1271.75,126.75,280.40,777.78,9.14,9.50,6206.75,504.37,126.30,3.43,6319.00,1.00,496.20,3136000.00,3.43,4470.00,1876.00,494.09,1671.64,0.00
1752259530485426478,10742,1137.25,153.00,303.93,643.68,8.57,58.00,5711.00,545.15,137.24,2.86,6036.00,15.00,518.26,209066.67,2.86,2860.00,3448.00,497.07,909.51,0.71
1752260018401207385,45505,5654.75,362.25,196.80,818.81,4.62,1115.00,23852.75,378.42,98.94,3.77,25142.00,303.00,370.98,31155.12,3.77,8392.00,17104.00,370.24,551.92,1.12
1752260073042130009,14083,1234.50,131.50,287.07,749.52,8.86,9.75,6152.25,508.81,127.42,3.43,6202.00,69.00,500.08,45449.28,3.43,3941.00,2457.00,490.08,1276.35,0.29
1752260091305379395,41078,5296.00,136.50,76.59,766.11,3.57,12167.50,13219.25,132.14,62.92,3.46,26272.00,591.00,123.88,5631.13,3.46,2179.00,25254.00,121.31,131.78,1.79
1752260160757510893,22606,1106.75,407.25,111.02,103.32,9.00,19.25,7646.75,171.07,42.88,3.50,7886.00,1.00,166.35,1312000.00,3.50,7157.00,751.00,165.89,1747.00,0.00
1752260751105678491,31604,5205.00,367.50,212.50,807.09,39.04,16.50,24956.75,378.00,94.56,12.77,25107.00,1.00,375.96,9440000.00,12.77,19766.00,5359.00,375.71,1761.52,0.00
1752260787321231484,31650,5228.00,374.50,211.36,791.97,37.42,16.75,24952.50,378.06,94.58,12.77,7340.00,17798.00,375.51,530.40,12.77,22285.00,2860.00,375.41,3300.70,0.00
