timestamp,env,repetition,system,table,time
1752310213,figure_11,1,netcat,lineitem_sf10,6.450425
1752310219,figure_11,2,netcat,lineitem_sf10,7.232936
1752310227,figure_11,3,netcat,lineitem_sf10,7.347485
1752310234,figure_11,1,netcat,ss13husallm,1.078564
1752310235,figure_11,2,netcat,ss13husallm,1.462881
1752310237,figure_11,3,netcat,ss13husallm,1.187641
1752310238,figure_11,1,netcat,iotm,2.882139
1752310241,figure_11,2,netcat,iotm,2.794114
1752310244,figure_11,3,netcat,iotm,3.641085
1752310247,figure_11,1,netcat,inputeventsm,2.178004
1752310249,figure_11,2,netcat,inputeventsm,2.528585
1752310252,figure_11,3,netcat,inputeventsm,1.952334
1752310272,figure_11,1,xdbc-skip0,lineitem_sf10,10.282893
1752310287,figure_11,1,xdbc-skip1,lineitem_sf10,8.253051
1752310305,figure_11,2,xdbc-skip0,lineitem_sf10,11.30425
1752310320,figure_11,2,xdbc-skip1,lineitem_sf10,8.243263
1752310337,figure_11,3,xdbc-skip0,lineitem_sf10,10.294673
1752310352,figure_11,3,xdbc-skip1,lineitem_sf10,8.247329
1752310361,figure_11,1,xdbc-skip0,ss13husallm,3.270659
1752310369,figure_11,1,xdbc-skip1,ss13husallm,1.223999
1752310378,figure_11,2,xdbc-skip0,ss13husallm,3.269462
1752310385,figure_11,2,xdbc-skip1,ss13husallm,1.235616
1752310395,figure_11,3,xdbc-skip0,ss13husallm,3.273265
1752310402,figure_11,3,xdbc-skip1,ss13husallm,1.218432
1752310418,figure_11,1,xdbc-skip0,iotm,9.264541
1752310427,figure_11,1,xdbc-skip1,iotm,3.231688
1752310443,figure_11,2,xdbc-skip0,iotm,9.269518
1752310452,figure_11,2,xdbc-skip1,iotm,3.249972
1752310468,figure_11,3,xdbc-skip0,iotm,9.256781
1752310477,figure_11,3,xdbc-skip1,iotm,3.227052
1752310487,figure_11,1,xdbc-skip0,inputeventsm,3.293994
1752310496,figure_11,1,xdbc-skip1,inputeventsm,3.226237
1752310506,figure_11,2,xdbc-skip0,inputeventsm,3.272567
1752310515,figure_11,2,xdbc-skip1,inputeventsm,3.232123
1752310525,figure_11,3,xdbc-skip0,inputeventsm,3.285695
1752310534,figure_11,3,xdbc-skip1,inputeventsm,3.235229
