timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1756028850,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,1,1,1024,81920,81920,1,snappy,0,0,101.371187,3987515556
1756028945,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,2,2,1024,81920,81920,1,snappy,0,0,87.387784,3987607782
1756029054,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,4,4,1024,81920,81920,1,snappy,0,0,101.419179,3987773880
1756029195,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,8,8,1024,81920,81920,1,snappy,0,0,133.403944,3988828731
1756029405,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.471162,3989702088
1756029589,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,1,16,16,1024,81920,81920,1,snappy,0,0,176.549815,3989263237
1756029795,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,2,16,16,1024,81920,81920,1,snappy,0,0,198.610226,3989785182
1756030012,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,8,16,16,1024,81920,81920,1,snappy,0,0,209.69079,3989866736
1756030232,env_2s_2c_125net_lineitem_sf10,1,1,4,4,1,1,16,16,16,1024,81920,81920,1,snappy,0,0,211.772167,3989952430
1756030441,env_2s_2c_125net_lineitem_sf10,1,2,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,201.642528,3989722542
1756030653,env_2s_2c_125net_lineitem_sf10,1,4,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,204.706369,3989891870
1756030861,env_2s_2c_125net_lineitem_sf10,1,8,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,200.581392,3989821034
1756031070,env_2s_2c_125net_lineitem_sf10,1,16,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,200.754768,3989836980
1756031280,env_2s_2c_125net_lineitem_sf10,1,1,1,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.59254,3989620503
1756031486,env_2s_2c_125net_lineitem_sf10,1,1,2,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,198.777744,3989685705
1756031697,env_2s_2c_125net_lineitem_sf10,1,1,8,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.660155,3989719238
1756031909,env_2s_2c_125net_lineitem_sf10,1,1,16,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,204.666146,3989753767
1756032119,env_2s_2c_125net_lineitem_sf10,1,1,4,1,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.717977,3989808768
1756032327,env_2s_2c_125net_lineitem_sf10,1,1,4,2,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,200.643695,3989646670
1756032541,env_2s_2c_125net_lineitem_sf10,1,1,4,8,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,205.74126,3989772023
1756032754,env_2s_2c_125net_lineitem_sf10,1,1,4,16,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,205.710897,3989922400
1756032864,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,1,1,1024,81920,81920,1,snappy,0,0,101.3753,3987167724
1756032958,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,2,2,1024,81920,81920,1,snappy,0,0,86.369883,3987681303
1756033062,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,4,4,1024,81920,81920,1,snappy,0,0,96.42769,3987719757
1756033207,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,8,8,1024,81920,81920,1,snappy,0,0,137.419468,3989003380
1756033417,env_16s_2c_125net_lineitem_sf10,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,snappy,0,0,202.700802,3989859512
