timestamp,env,repetition,compression,network_mbps,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1756074018,env_16c_16c_15.75net,1,nocomp,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,664.418765
1756074279,env_16c_16c_15.75net,1,lz4,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,254.358779
1756074520,env_16c_16c_15.75net,1,lzo,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,233.355211
1756074753,env_16c_16c_15.75net,1,snappy,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,225.348985
1756074925,env_16c_16c_15.75net,1,zstd,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,164.484249
1756075268,env_16c_16c_31.5net,1,nocomp,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,333.389645
1756075405,env_16c_16c_31.5net,1,lz4,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,129.350319
1756075530,env_16c_16c_31.5net,1,lzo,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,117.358466
1756075652,env_16c_16c_31.5net,1,snappy,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,114.35052
1756075744,env_16c_16c_31.5net,1,zstd,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,84.468538
1756075839,env_16c_16c_125net,1,nocomp,125,1,4,4,1,1,4,4,16,lineitem_sf10,86.33021
1756075881,env_16c_16c_125net,1,lz4,125,1,4,4,1,1,4,4,16,lineitem_sf10,34.337999
1756075920,env_16c_16c_125net,1,lzo,125,1,4,4,1,1,4,4,16,lineitem_sf10,31.331726
1756075959,env_16c_16c_125net,1,snappy,125,1,4,4,1,1,4,4,16,lineitem_sf10,31.321401
1756075997,env_16c_16c_125net,1,zstd,125,1,4,4,1,1,4,4,16,lineitem_sf10,30.477569
1756076052,env_16c_16c_250net,1,nocomp,250,1,4,4,1,1,4,4,16,lineitem_sf10,46.333487
1756076090,env_16c_16c_250net,1,lz4,250,1,4,4,1,1,4,4,16,lineitem_sf10,30.331576
1756076128,env_16c_16c_250net,1,lzo,250,1,4,4,1,1,4,4,16,lineitem_sf10,30.341018
1756076166,env_16c_16c_250net,1,snappy,250,1,4,4,1,1,4,4,16,lineitem_sf10,30.332423
1756076205,env_16c_16c_250net,1,zstd,250,1,4,4,1,1,4,4,16,lineitem_sf10,31.468046
1756076245,env_16c_16c_500net,1,nocomp,500,1,4,4,1,1,4,4,16,lineitem_sf10,30.345364
1756076284,env_16c_16c_500net,1,lz4,500,1,4,4,1,1,4,4,16,lineitem_sf10,31.326271
1756076320,env_16c_16c_500net,1,lzo,500,1,4,4,1,1,4,4,16,lineitem_sf10,29.343375
1756076357,env_16c_16c_500net,1,snappy,500,1,4,4,1,1,4,4,16,lineitem_sf10,29.323738
1756076395,env_16c_16c_500net,1,zstd,500,1,4,4,1,1,4,4,16,lineitem_sf10,30.470345
