timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1756076436,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,32,81920,81920,1,nocomp,0,0,30.850931,11547018207
1756076471,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,64,81920,81920,1,nocomp,0,0,27.03676,10938722405
1756076504,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,128,81920,81920,1,nocomp,0,0,25.669398,10647520117
1756076536,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,256,81920,81920,1,nocomp,0,0,24.476384,10501854739
1756076567,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,512,81920,81920,1,nocomp,0,0,23.388698,10429005623
1756076599,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,nocomp,0,0,24.356531,10392562927
1756076630,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,2048,81920,81920,1,nocomp,0,0,23.32901,10374411605
1756076668,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,32,81920,81920,2,nocomp,0,0,30.832522,11546455897
1756076704,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,64,81920,81920,2,nocomp,0,0,28.07087,10938728463
1756076737,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,128,81920,81920,2,nocomp,0,0,25.697293,10646925417
1756076769,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,256,81920,81920,2,nocomp,0,0,24.484354,10496663289
1756076801,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,512,81920,81920,2,nocomp,0,0,24.380162,10430267175
1756076833,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,1024,81920,81920,2,nocomp,0,0,24.361396,10395721767
1756076865,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,2048,81920,81920,2,nocomp,0,0,24.350062,10377486169
1756076891,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,32,81920,81920,1,lz4,0,0,17.842584,5484847908
1756076914,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,64,81920,81920,1,lz4,0,0,16.075104,4771311209
1756076936,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,128,81920,81920,1,lz4,0,0,13.677123,4425302675
1756076957,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,256,81920,81920,1,lz4,0,0,13.509915,4251900115
1756076978,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,512,81920,81920,1,lz4,0,0,13.389847,4163836195
1756076998,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,1024,81920,81920,1,lz4,0,0,13.356731,4119700417
1756077020,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,2048,81920,81920,1,lz4,0,0,14.347439,4096932228
1756077047,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,32,81920,81920,2,lz4,0,0,18.891211,5445533624
1756077070,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,64,81920,81920,2,lz4,0,0,16.032162,4730854942
1756077092,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,128,81920,81920,2,lz4,0,0,13.691555,4262251274
1756077114,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,256,81920,81920,2,lz4,0,0,14.486526,4061530490
1756077135,env_16s_16c_1000net_Lineitem,1,1,4,4,1,1,4,16,16,512,81920,81920,2,lz4,0,0,13.377793,3958173384
