timestamp,env,repetition,compression,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1756125819,env_16c_16c_0net,1,nocomp,1,8,1,1,1,1,8,16,lineitem_sf10,16.365539
1756125842,env_16c_16c_0net,1,nocomp,1,8,2,1,1,2,8,16,lineitem_sf10,16.359737
1756125866,env_16c_16c_0net,1,nocomp,1,8,4,1,1,4,8,16,lineitem_sf10,17.362712
1756125890,env_16c_16c_0net,1,nocomp,1,8,8,1,1,8,8,16,lineitem_sf10,17.355003
1756125915,env_16c_16c_0net,1,nocomp,1,8,16,1,1,16,8,16,lineitem_sf10,17.359361
1756125955,env_16c_16c_0net,1,lz4,1,8,1,1,1,1,8,16,lineitem_sf10,33.360447
1756125980,env_16c_16c_0net,1,lz4,1,8,2,1,1,2,8,16,lineitem_sf10,18.356612
1756126003,env_16c_16c_0net,1,lz4,1,8,4,1,1,4,8,16,lineitem_sf10,16.363662
1756126028,env_16c_16c_0net,1,lz4,1,8,8,1,1,8,8,16,lineitem_sf10,17.369872
1756126052,env_16c_16c_0net,1,lz4,1,8,16,1,1,16,8,16,lineitem_sf10,17.37359
1756126091,env_16c_16c_0net,1,lzo,1,8,1,1,1,1,8,16,lineitem_sf10,32.360525
1756126115,env_16c_16c_0net,1,lzo,1,8,2,1,1,2,8,16,lineitem_sf10,17.357824
1756126140,env_16c_16c_0net,1,lzo,1,8,4,1,1,4,8,16,lineitem_sf10,17.382133
1756126164,env_16c_16c_0net,1,lzo,1,8,8,1,1,8,8,16,lineitem_sf10,17.374345
1756126188,env_16c_16c_0net,1,lzo,1,8,16,1,1,16,8,16,lineitem_sf10,17.381054
1756126223,env_16c_16c_0net,1,snappy,1,8,1,1,1,1,8,16,lineitem_sf10,27.37657
1756126247,env_16c_16c_0net,1,snappy,1,8,2,1,1,2,8,16,lineitem_sf10,17.373931
1756126271,env_16c_16c_0net,1,snappy,1,8,4,1,1,4,8,16,lineitem_sf10,17.360633
1756126295,env_16c_16c_0net,1,snappy,1,8,8,1,1,8,8,16,lineitem_sf10,17.354393
1756126320,env_16c_16c_0net,1,snappy,1,8,16,1,1,16,8,16,lineitem_sf10,17.369761
1756126381,env_16c_16c_0net,1,zstd,1,8,1,1,1,1,8,16,lineitem_sf10,54.402975
1756126417,env_16c_16c_0net,1,zstd,1,8,2,1,1,2,8,16,lineitem_sf10,29.394261
1756126440,env_16c_16c_0net,1,zstd,1,8,4,1,1,4,8,16,lineitem_sf10,16.40129
1756126464,env_16c_16c_0net,1,zstd,1,8,8,1,1,8,8,16,lineitem_sf10,16.405815
1756126488,env_16c_16c_0net,1,zstd,1,8,16,1,1,16,8,16,lineitem_sf10,17.408218
1756126521,env_16c_16c_1000net,1,nocomp,1,8,1,1,1,1,8,16,lineitem_sf10,23.361511
1756126553,env_16c_16c_1000net,1,nocomp,1,8,2,1,1,2,8,16,lineitem_sf10,24.364478
1756126581,env_16c_16c_1000net,1,nocomp,1,8,4,1,1,4,8,16,lineitem_sf10,21.354338
1756126613,env_16c_16c_1000net,1,nocomp,1,8,8,1,1,8,8,16,lineitem_sf10,24.373738
1756126648,env_16c_16c_1000net,1,nocomp,1,8,16,1,1,16,8,16,lineitem_sf10,27.366714
1756126690,env_16c_16c_1000net,1,lz4,1,8,1,1,1,1,8,16,lineitem_sf10,34.380175
1756126717,env_16c_16c_1000net,1,lz4,1,8,2,1,1,2,8,16,lineitem_sf10,19.361691
1756126742,env_16c_16c_1000net,1,lz4,1,8,4,1,1,4,8,16,lineitem_sf10,17.381748
1756126767,env_16c_16c_1000net,1,lz4,1,8,8,1,1,8,8,16,lineitem_sf10,17.356546
1756126793,env_16c_16c_1000net,1,lz4,1,8,16,1,1,16,8,16,lineitem_sf10,18.362167
1756126832,env_16c_16c_1000net,1,lzo,1,8,1,1,1,1,8,16,lineitem_sf10,31.373842
1756126857,env_16c_16c_1000net,1,lzo,1,8,2,1,1,2,8,16,lineitem_sf10,17.378673
1756126882,env_16c_16c_1000net,1,lzo,1,8,4,1,1,4,8,16,lineitem_sf10,17.362062
1756126907,env_16c_16c_1000net,1,lzo,1,8,8,1,1,8,8,16,lineitem_sf10,17.355258
1756126933,env_16c_16c_1000net,1,lzo,1,8,16,1,1,16,8,16,lineitem_sf10,18.36183
1756126968,env_16c_16c_1000net,1,snappy,1,8,1,1,1,1,8,16,lineitem_sf10,27.360988
1756126993,env_16c_16c_1000net,1,snappy,1,8,2,1,1,2,8,16,lineitem_sf10,17.365648
1756127018,env_16c_16c_1000net,1,snappy,1,8,4,1,1,4,8,16,lineitem_sf10,17.361735
1756127043,env_16c_16c_1000net,1,snappy,1,8,8,1,1,8,8,16,lineitem_sf10,17.362965
1756127069,env_16c_16c_1000net,1,snappy,1,8,16,1,1,16,8,16,lineitem_sf10,18.37675
1756127129,env_16c_16c_1000net,1,zstd,1,8,1,1,1,1,8,16,lineitem_sf10,53.399783
1756127167,env_16c_16c_1000net,1,zstd,1,8,2,1,1,2,8,16,lineitem_sf10,30.407141
1756127192,env_16c_16c_1000net,1,zstd,1,8,4,1,1,4,8,16,lineitem_sf10,17.400175
1756127218,env_16c_16c_1000net,1,zstd,1,8,8,1,1,8,8,16,lineitem_sf10,18.406652
1756127243,env_16c_16c_1000net,1,zstd,1,8,16,1,1,16,8,16,lineitem_sf10,17.431605
