timestamp,env_name,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,buffer_size,server_buffpool_size,client_buffpool_size,format,compression_lib,skip_ser,skip_deser,time,data_size
1756029718,env_8s_2c_500net_lineitem_sf10,1,1,2,8,1,1,8,4,1,1024,49152,55296,1,nocomp,0,0,86.334789,10403955125
1756029844,env_8s_2c_500net_lineitem_sf10,1,8,1,2,1,1,2,8,4,1024,49152,58368,1,nocomp,0,0,118.400983,10408883595
1756029971,env_8s_2c_500net_lineitem_sf10,1,8,1,2,1,1,4,4,4,1024,49152,52224,1,lzo,0,0,119.392116,4000378262
1756030065,env_8s_2c_500net_lineitem_sf10,1,8,8,1,1,1,4,2,4,1024,67584,46080,1,snappy,0,0,87.34255,3988072208
1756030209,env_8s_2c_500net_lineitem_sf10,1,2,8,4,1,1,4,8,4,1024,58368,64512,1,zstd,0,0,136.42688,3161960746
1756030319,env_8s_2c_500net_lineitem_sf10,1,8,8,2,1,1,8,1,4,1024,70656,55296,1,snappy,0,0,102.34874,3987861366
1756030428,env_8s_2c_500net_lineitem_sf10,1,2,2,2,1,1,8,1,1,1024,33792,46080,1,lz4,0,0,101.303004,4117923573
1756030525,env_8s_2c_500net_lineitem_sf10,1,4,2,1,1,1,8,2,1,1024,36864,49152,1,snappy,0,0,90.320158,3987988944
1756030654,env_8s_2c_500net_lineitem_sf10,1,1,4,1,1,1,2,8,2,1024,33792,52224,1,lz4,0,0,121.34735,4119448025
1756030745,env_8s_2c_500net_lineitem_sf10,1,2,1,2,1,1,1,4,1,1024,30720,33792,1,nocomp,0,0,83.320629,10414064943
1756030869,env_8s_2c_500net_lineitem_sf10,1,4,2,8,1,1,1,8,4,1024,58368,55296,1,lz4,0,0,117.347019,4118958599
1756030978,env_8s_2c_500net_lineitem_sf10,1,2,4,8,1,1,4,4,2,1024,58368,46080,1,zstd,0,0,101.419268,3161524352
