timestamp,env,repetition,system,table,time
1756030980,figurePandasPG,1,connectorx,lineitem_sf10,55.28672
1756031035,figurePandasPG,2,connectorx,lineitem_sf10,57.032255
1756031092,figurePandasPG,1,duckdb,lineitem_sf10,150.488916
1756031243,figurePandasPG,2,duckdb,lineitem_sf10,150.128029
1756031393,figurePandasPG,1,modin,lineitem_sf10,314.842904
1756031708,figurePandasPG,2,modin,lineitem_sf10,316.964481
1756032025,figurePandasPG,1,turbodbc,lineitem_sf10,345.018655
1756032370,figurePandasPG,2,turbodbc,lineitem_sf10,342.272798
1756032712,figurePandasPG,1,connectorx,ss13husallm,10.665572
1756032723,figurePandasPG,2,connectorx,ss13husallm,10.793318
1756032733,figurePandasPG,1,duckdb,ss13husallm,56.807288
1756032790,figurePandasPG,2,duckdb,ss13husallm,56.636846
1756032847,figurePandasPG,1,modin,ss13husallm,30.647517
1756032878,figurePandasPG,2,modin,ss13husallm,30.122375
1756032908,figurePandasPG,1,turbodbc,ss13husallm,68.686862
1756032976,figurePandasPG,2,turbodbc,ss13husallm,68.728675
1756033045,figurePandasPG,1,connectorx,iotm,12.859751
1756033058,figurePandasPG,2,connectorx,iotm,12.833873
1756033071,figurePandasPG,1,duckdb,iotm,59.120502
1756033130,figurePandasPG,2,duckdb,iotm,59.226989
1756033189,figurePandasPG,1,modin,iotm,48.773198
1756033238,figurePandasPG,2,modin,iotm,48.017418
1756033286,figurePandasPG,1,turbodbc,iotm,145.003659
1756033431,figurePandasPG,2,turbodbc,iotm,157.805205
1756033589,figurePandasPG,1,connectorx,inputeventsm,14.346997
1756033603,figurePandasPG,2,connectorx,inputeventsm,15.153895
1756033618,figurePandasPG,1,duckdb,inputeventsm,38.020955
1756033656,figurePandasPG,2,duckdb,inputeventsm,37.85139
1756033694,figurePandasPG,1,modin,inputeventsm,39.96654
1756033734,figurePandasPG,2,modin,inputeventsm,40.628124
1756033775,figurePandasPG,1,turbodbc,inputeventsm,77.584669
1756033852,figurePandasPG,2,turbodbc,inputeventsm,79.935447
1756034356,figurePandasPG,1,xdbc,lineitem_sf10,140.657737
1756034493,figurePandasPG,2,xdbc,lineitem_sf10,130.613396
1756034532,figurePandasPG,1,xdbc,ss13husallm,33.272803
1756034571,figurePandasPG,2,xdbc,ss13husallm,33.145614
1756034627,figurePandasPG,1,xdbc,iotm,49.641618
1756034683,figurePandasPG,2,xdbc,iotm,49.753156
1756034725,figurePandasPG,1,xdbc,inputeventsm,36.488975
1756034768,figurePandasPG,2,xdbc,inputeventsm,36.542452
