timestamp,env,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1752076140,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,101.722929
1752076250,test,1,2,1,1,1,1,1,1,1,lineitem_sf10,103.624502
1752076362,test,1,4,1,1,1,1,1,1,1,lineitem_sf10,104.632989
1752076469,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,100.716264
1752076577,test,1,16,1,1,1,1,1,1,1,lineitem_sf10,101.761199
1752076685,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,100.744944
1752076796,test,1,1,2,1,1,1,1,1,1,lineitem_sf10,104.639801
1752076909,test,1,1,4,1,1,1,1,1,1,lineitem_sf10,105.7498
1752077019,test,1,1,8,1,1,1,1,1,1,lineitem_sf10,103.661912
1752077129,test,1,1,16,1,1,1,1,1,1,lineitem_sf10,103.669608
1752077238,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,102.619897
1752077348,test,1,1,1,2,1,1,1,1,1,lineitem_sf10,102.610146
1752077457,test,1,1,1,4,1,1,1,1,1,lineitem_sf10,102.746535
1752077568,test,1,1,1,8,1,1,1,1,1,lineitem_sf10,103.72356
1752077678,test,1,1,1,16,1,1,1,1,1,lineitem_sf10,103.648912
1752077789,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,104.619181
1752077898,test,1,1,1,1,1,1,2,1,1,lineitem_sf10,102.702058
1752078008,test,1,1,1,1,1,1,4,1,1,lineitem_sf10,102.751633
1752078117,test,1,1,1,1,1,1,8,1,1,lineitem_sf10,102.704994
1752078224,test,1,1,1,1,1,1,16,1,1,lineitem_sf10,99.641261
1752078333,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,102.613789
1752078395,test,1,1,1,1,1,1,1,2,1,lineitem_sf10,55.653613
1752078433,test,1,1,1,1,1,1,1,4,1,lineitem_sf10,31.732209
1752078473,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,32.633156
1752078511,test,1,1,1,1,1,1,1,16,1,lineitem_sf10,31.670556
1752078620,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,102.752568
1752078730,test,1,1,1,1,1,1,1,1,2,lineitem_sf10,102.731989
1752078839,test,1,1,1,1,1,1,1,1,4,lineitem_sf10,102.72293
1752078949,test,1,1,1,1,1,1,1,1,8,lineitem_sf10,102.695909
1752079058,test,1,1,1,1,1,1,1,1,16,lineitem_sf10,102.733049
