timestamp,env,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1752076866,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,30.750462
1752076905,test,1,2,1,1,1,1,1,8,1,lineitem_sf10,31.767192
1752076941,test,1,4,1,1,1,1,1,8,1,lineitem_sf10,29.798521
1752076977,test,1,8,1,1,1,1,1,8,1,lineitem_sf10,28.815098
1752077015,test,1,16,1,1,1,1,1,8,1,lineitem_sf10,31.768999
1752077052,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.809191
1752077090,test,1,1,2,1,1,1,1,8,1,lineitem_sf10,31.770977
1752077128,test,1,1,4,1,1,1,1,8,1,lineitem_sf10,30.786035
1752077166,test,1,1,8,1,1,1,1,8,1,lineitem_sf10,31.778138
1752077203,test,1,1,16,1,1,1,1,8,1,lineitem_sf10,30.816309
1752077240,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.819646
1752077273,test,1,1,1,2,1,1,1,8,1,lineitem_sf10,26.755764
1752077304,test,1,1,1,4,1,1,1,8,1,lineitem_sf10,23.832572
1752077336,test,1,1,1,8,1,1,1,8,1,lineitem_sf10,25.759084
1752077368,test,1,1,1,16,1,1,1,8,1,lineitem_sf10,24.819559
1752077405,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.83093
1752077443,test,1,1,1,1,1,1,2,8,1,lineitem_sf10,31.775757
1752077479,test,1,1,1,1,1,1,4,8,1,lineitem_sf10,29.824617
1752077516,test,1,1,1,1,1,1,8,8,1,lineitem_sf10,29.810381
1752077552,test,1,1,1,1,1,1,16,8,1,lineitem_sf10,29.793639
1752077663,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,103.786858
1752077725,test,1,1,1,1,1,1,1,2,1,lineitem_sf10,55.82841
1752077764,test,1,1,1,1,1,1,1,4,1,lineitem_sf10,31.766591
1752077802,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,31.826568
1752077839,test,1,1,1,1,1,1,1,16,1,lineitem_sf10,29.827159
1752077875,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,29.809188
1752077912,test,1,1,1,1,1,1,1,8,2,lineitem_sf10,29.811934
1752077948,test,1,1,1,1,1,1,1,8,4,lineitem_sf10,29.802392
1752077986,test,1,1,1,1,1,1,1,8,8,lineitem_sf10,30.770511
1752078022,test,1,1,1,1,1,1,1,8,16,lineitem_sf10,29.820588
