timestamp,env,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1752121053,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,115.737959
1752121161,test,1,2,1,1,1,1,1,1,1,lineitem_sf10,101.642595
1752121272,test,1,4,1,1,1,1,1,1,1,lineitem_sf10,104.739489
1752121383,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,103.736908
1752121493,test,1,16,1,1,1,1,1,1,1,lineitem_sf10,103.735619
1752121616,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,115.774788
1752121737,test,1,1,2,1,1,1,1,1,1,lineitem_sf10,114.701463
1752121857,test,1,1,4,1,1,1,1,1,1,lineitem_sf10,113.734459
1752121981,test,1,1,8,1,1,1,1,1,1,lineitem_sf10,116.735841
1752122101,test,1,1,16,1,1,1,1,1,1,lineitem_sf10,113.679993
1752122221,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,112.730389
1752122343,test,1,1,1,2,1,1,1,1,1,lineitem_sf10,115.772435
1752122465,test,1,1,1,4,1,1,1,1,1,lineitem_sf10,115.722422
1752122588,test,1,1,1,8,1,1,1,1,1,lineitem_sf10,115.801622
1752122709,test,1,1,1,16,1,1,1,1,1,lineitem_sf10,114.676938
1752122830,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,114.686455
1752122952,test,1,1,1,1,1,1,2,1,1,lineitem_sf10,114.699252
1752123071,test,1,1,1,1,1,1,4,1,1,lineitem_sf10,112.69153
1752123194,test,1,1,1,1,1,1,8,1,1,lineitem_sf10,116.626326
1752123314,test,1,1,1,1,1,1,16,1,1,lineitem_sf10,112.786647
1752123436,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,115.750496
1752123560,test,1,1,1,1,1,1,1,2,1,lineitem_sf10,116.704505
1752123680,test,1,1,1,1,1,1,1,4,1,lineitem_sf10,113.7544
1752123802,test,1,1,1,1,1,1,1,8,1,lineitem_sf10,114.759395
1752123923,test,1,1,1,1,1,1,1,16,1,lineitem_sf10,114.730095
1752124045,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,115.700875
1752124168,test,1,1,1,1,1,1,1,1,2,lineitem_sf10,115.762925
1752124289,test,1,1,1,1,1,1,1,1,4,lineitem_sf10,114.649919
1752124412,test,1,1,1,1,1,1,1,1,8,lineitem_sf10,115.712006
1752124531,test,1,1,1,1,1,1,1,1,16,lineitem_sf10,112.658613
