timestamp,env,repetition,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1752083732,test,1,1,1,1,1,1,1,1,1,lineitem_sf10,114.35962
1752083839,test,1,2,1,1,1,1,1,1,1,lineitem_sf10,100.343472
1752083946,test,1,4,1,1,1,1,1,1,1,lineitem_sf10,100.359952
1752084058,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,105.359653
1752084169,test,1,16,1,1,1,1,1,1,1,lineitem_sf10,103.369674
1752084280,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,104.353058
1752084391,test,1,8,2,1,1,1,1,1,1,lineitem_sf10,104.363862
1752084500,test,1,8,4,1,1,1,1,1,1,lineitem_sf10,102.376331
1752084607,test,1,8,8,1,1,1,1,1,1,lineitem_sf10,100.350981
1752084718,test,1,8,16,1,1,1,1,1,1,lineitem_sf10,104.366372
1752084824,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,99.379325
1752084931,test,1,8,1,2,1,1,1,1,1,lineitem_sf10,100.368336
1752085043,test,1,8,1,4,1,1,1,1,1,lineitem_sf10,104.359966
1752085155,test,1,8,1,8,1,1,1,1,1,lineitem_sf10,105.368769
1752085265,test,1,8,1,16,1,1,1,1,1,lineitem_sf10,103.363387
1752085375,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,103.359537
1752085487,test,1,8,1,1,1,1,2,1,1,lineitem_sf10,104.358311
1752085594,test,1,8,1,1,1,1,4,1,1,lineitem_sf10,100.342718
1752085703,test,1,8,1,1,1,1,8,1,1,lineitem_sf10,102.363668
1752085814,test,1,8,1,1,1,1,16,1,1,lineitem_sf10,104.349353
1752085922,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,101.350523
1752085985,test,1,8,1,1,1,1,1,2,1,lineitem_sf10,56.356355
1752086027,test,1,8,1,1,1,1,1,4,1,lineitem_sf10,35.337383
1752086067,test,1,8,1,1,1,1,1,8,1,lineitem_sf10,32.346883
1752086109,test,1,8,1,1,1,1,1,16,1,lineitem_sf10,35.329043
1752086218,test,1,8,1,1,1,1,1,1,1,lineitem_sf10,102.357538
1752086326,test,1,8,1,1,1,1,1,1,2,lineitem_sf10,101.350824
1752086433,test,1,8,1,1,1,1,1,1,4,lineitem_sf10,100.354898
1752086544,test,1,8,1,1,1,1,1,1,8,lineitem_sf10,104.348305
1752086653,test,1,8,1,1,1,1,1,1,16,lineitem_sf10,102.353251
