timestamp,env,repetition,system,table,time
1756027809,figure_11,1,xdbc-skip0-format1,lineitem_sf10,11.31261
1756027827,figure_11,2,xdbc-skip0-format1,lineitem_sf10,11.318814
1756027845,figure_11,1,xdbc-skip0-format2,lineitem_sf10,11.30308
1756027863,figure_11,2,xdbc-skip0-format2,lineitem_sf10,11.299033
1756027887,figure_11,1,xdbc-skip0-format3,lineitem_sf10,16.318417
1756027910,figure_11,2,xdbc-skip0-format3,lineitem_sf10,16.321368
1756027919,figure_11,1,xdbc-skip0-format1,ss13husallm,3.266303
1756027929,figure_11,2,xdbc-skip0-format1,ss13husallm,3.265003
1756027938,figure_11,1,xdbc-skip0-format2,ss13husallm,3.262395
1756027948,figure_11,2,xdbc-skip0-format2,ss13husallm,3.261933
1756027961,figure_11,1,xdbc-skip0-format3,ss13husallm,7.338829
1756027975,figure_11,2,xdbc-skip0-format3,ss13husallm,7.310789
1756027991,figure_11,1,xdbc-skip0-format1,iotm,9.271092
1756028007,figure_11,2,xdbc-skip0-format1,iotm,9.275783
1756028023,figure_11,1,xdbc-skip0-format2,iotm,10.275038
1756028040,figure_11,2,xdbc-skip0-format2,iotm,10.269842
1756028065,figure_11,1,xdbc-skip0-format3,iotm,18.282009
1756028089,figure_11,2,xdbc-skip0-format3,iotm,17.290728
1756028098,figure_11,1,xdbc-skip0-format1,inputeventsm,3.286708
1756028108,figure_11,2,xdbc-skip0-format1,inputeventsm,3.28607
1756028118,figure_11,1,xdbc-skip0-format2,inputeventsm,3.29929
1756028127,figure_11,2,xdbc-skip0-format2,inputeventsm,3.291304
1756028138,figure_11,1,xdbc-skip0-format3,inputeventsm,4.290708
1756028149,figure_11,2,xdbc-skip0-format3,inputeventsm,4.29177
1756028164,figure_11,1,xdbc-skip1-formatNone,lineitem_sf10,8.255109
1756028179,figure_11,2,xdbc-skip1-formatNone,lineitem_sf10,8.262856
1756028187,figure_11,1,xdbc-skip1-formatNone,ss13husallm,1.227825
1756028194,figure_11,2,xdbc-skip1-formatNone,ss13husallm,1.225571
1756028204,figure_11,1,xdbc-skip1-formatNone,iotm,3.238056
1756028214,figure_11,2,xdbc-skip1-formatNone,iotm,3.242524
1756028222,figure_11,1,xdbc-skip1-formatNone,inputeventsm,2.233141
1756028231,figure_11,2,xdbc-skip1-formatNone,inputeventsm,2.254912
